Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;501;
1419905499.5004994869;-85.0857086181640625;-87.00734710693359375
1419907497.5024974346;-82.47249603271484375;-99.31439208984375
1419909495.5044953823;-82.37686920166015625;-93.82714080810546875
1419911493.50649333;-84.0864410400390625;-95.9653778076171875
1419913491.5084912777;-84.3455047607421875;-91.3722076416015625
1419915489.5104892254;-79.96080780029296875;-83.9937744140625
1419917487.5124871731;-82.915740966796875;-87.17242431640625
1419919485.5144851208;-80.52300262451171875;-90.34375762939453125
1419921483.5164830685;-80.8155670166015625;-94.03659820556640625
1419923481.5184810162;-82.41507720947265625;-87.311859130859375
1419925479.5204789639;-81.475189208984375;-90.18653106689453125
1419927477.5224769115;-81.609283447265625;-89.25347900390625
1419929475.5244748592;-81.287811279296875;-83.11681365966796875
1419931473.5264728069;-83.53047943115234375;-98.59745025634765625
1419933471.5284707546;-81.14792633056640625;-83.9897613525390625
1419935469.5304687023;-81.946746826171875;-88.35430145263671875
1419937467.53246665;-85.8633270263671875;-94.32874298095703125
1419939465.5344645977;-86.716705322265625;-89.84278106689453125
1419941463.5364625454;-86.6010589599609375;-92.3910369873046875
1419943461.5384604931;-86.5063934326171875;-92.632354736328125
1419945459.5404584408;-83.17742156982421875;-88.9478912353515625
1419947457.5424563885;-81.131134033203125;-86.57677459716796875
1419949455.5444543362;-80.86053466796875;-84.4969024658203125
1419951453.5464522839;-80.904937744140625;-88.04320526123046875
1419953451.5484502316;-85.34651947021484375;-96.5464324951171875
1419955449.5504481792;-82.850982666015625;-90.3044891357421875
1419957447.5524461269;-82.1024322509765625;-88.569427490234375
1419959445.5544440746;-79.6334686279296875;-88.5328369140625
1419961443.5564420223;-80.463714599609375;-91.251678466796875
1419963441.55843997;-86.66722869873046875;-91.24442291259765625
1419965439.5604379177;-80.533966064453125;-89.815277099609375
1419967437.5624358654;-80.61925506591796875;-83.1506805419921875
1419969435.5644338131;-81.3408660888671875;-88.05939483642578125
1419971433.5664317608;-82.88799285888671875;-86.66904449462890625
1419973431.5684297085;-83.5621795654296875;-88.76064300537109375
1419975429.5704276562;-87.1738433837890625;-89.11083984375
